level,commune,name,pcode,latitude,longitude
commune,,Abobo,,
quarter,Abobo,Abobo Baoule,,
quarter,Abobo,Abobo Sagbe,,
quarter,Abobo,Abobo Te,,
quarter,Abobo,Agbekoi,,
quarter,Abobo,Anonkoi 2,,
quarter,Abobo,Gare Abobo,,
commune,,Adjamé,,
quarter,Adjamé,Adjamé Liberté,,
quarter,Adjamé,Adjamé village,,
quarter,Adjamé,Anador,,
quarter,Adjamé,Attié,,
quarter,Adjamé,Djinou,,
quarter,Adjamé,Monsieur,,
commune,,Attécoubé,,
quarter,Attécoubé,Abia,,
quarter,Attécoubé,Agbo,,
quarter,Attécoubé,Ahongbon,,
quarter,Attécoubé,Attecoube Centre,,
quarter,Attécoubé,Baco,,
quarter,Attécoubé,Camp Militaire,,
quarter,Attécoubé,Dogosso,,
quarter,Attécoubé,Gare Attecoube,,
commune,,Cocody,,
quarter,Cocody,Angré,,
quarter,Cocody,Blokosso,,
quarter,Cocody,Bonie,,
quarter,Cocody,Cocody Centre,,
quarter,Cocody,Danga,,
quarter,Cocody,Deux-Plateaux,,
quarter,Cocody,M'Badon,,
quarter,Cocody,Palmeraie,,
quarter,Cocody,Riviera 2,,
quarter,Cocody,Riviera 3,,
quarter,Cocody,Riviera 4,,
quarter,Cocody,Saint-Jean,,
commune,,Koumassi,,
quarter,Koumassi,Koumassi Campement,,
quarter,Koumassi,Koumassi Gare,,
quarter,Koumassi,Koumassi Marché,,
quarter,Koumassi,Koumassi Nord,,
quarter,Koumassi,Koumassi Remblais,,
quarter,Koumassi,Koumassi Sud,,
quarter,Koumassi,Petite Koumassi,,
commune,,Marcory,,
quarter,Marcory,Anoumabo,,
quarter,Marcory,Marcory Avenue 3,,
quarter,Marcory,Marcory Gare,,
quarter,Marcory,Marcory Nord,,
quarter,Marcory,Marcory Sud,,
quarter,Marcory,Marcory Zone 4,,
commune,,Plateau,,
quarter,Plateau,Le Plateau,,
quarter,Plateau,Plateau Centre,,
quarter,Plateau,Plateau Gare,,
quarter,Plateau,Plateau Nord,,
commune,,Port-Bouët,,
quarter,Port-Bouët,Abidjan Port,,
quarter,Port-Bouët,Gare Port-Bouet,,
quarter,Port-Bouët,Koumassi Port,,
quarter,Port-Bouët,Port Bouet Centre,,
quarter,Port-Bouët,Vridi,,
quarter,Port-Bouët,Vridi Gare,,
commune,,Treichville,,
quarter,Treichville,Belleville,,
quarter,Treichville,Djelan,,
quarter,Treichville,Ficgayo,,
quarter,Treichville,Gare Treichville,,
quarter,Treichville,Mobidoum,,
quarter,Treichville,Treichville Centre,,
commune,,Yopougon,,
quarter,Yopougon,Andokoi,,
quarter,Yopougon,Ayé,,
quarter,Yopougon,Bel Air,,
quarter,Yopougon,Camp Militaire,,
quarter,Yopougon,Gare Yopougon,,
quarter,Yopougon,Koute,,
quarter,Yopougon,Nianguan,,
quarter,Yopougon,Niangon,,
quarter,Yopougon,Niangon Adiaho,,
quarter,Yopougon,Selmer,,
quarter,Yopougon,Sicogi,,
quarter,Yopougon,Sodeci,,
quarter,Yopougon,Toit Rouge,,
quarter,Yopougon,Yopougon Centre,,
commune,,Anyama,,
quarter,Anyama,Anyama Centre,,
quarter,Anyama,Anyama Gare,,
quarter,Anyama,Anyama Nord,,
commune,,Bingerville,,
quarter,Bingerville,Bingerville Centre,,
quarter,Bingerville,Bingerville Gare,,
commune,,Brodoukou,,
quarter,Brodoukou,Brodoukou Centre,,
